username,created_at,content_length,reblogs,favorites,hour,engagement
Gigade,2025-11-13 12:30:00+00:00,280,0,0,12,0
DeathBattleBot,2025-11-13 12:32:23.583000+00:00,71,0,0,12,0
jcgoesdigital,2025-11-13 12:17:07+00:00,90,0,0,12,0
Independent,2025-11-13 12:21:40+00:00,263,1,0,12,1
AndrewMarchand,2025-11-13 12:31:21+00:00,107,0,0,12,0
Gallorum,2025-11-13 12:32:22+00:00,94,0,0,12,0
borastidning,2025-11-13 12:32:19+00:00,159,0,0,12,0
AxiosNews,2025-11-13 12:15:04+00:00,286,1,0,12,1
EveningStandard,2025-11-13 12:02:30+00:00,289,1,0,12,1
borastidning,2025-11-13 12:32:18+00:00,141,0,0,12,0
piral,2025-11-13 12:32:19+00:00,172,0,0,12,0
barbara2,2025-11-13 12:32:18+00:00,478,0,0,12,0
onosolar,2025-11-13 12:32:18+00:00,288,0,0,12,0
clingfilm,2025-11-13 12:32:20.921000+00:00,66,0,0,12,0
news,2025-11-13 12:32:20+00:00,317,0,0,12,0
koozmo,2025-11-13 12:32:20.504000+00:00,296,0,0,12,0
stiriarges,2025-11-13 12:32:20.487000+00:00,160,0,0,12,0
OndaCero,2025-11-13 12:30:15+00:00,341,0,0,12,0
charmfanatic,2025-11-13 12:32:20.412000+00:00,61,0,0,12,0
petsreelsecia,2025-11-13 12:17:06+00:00,68,0,0,12,0
tubamei,2025-11-13 12:32:18+00:00,26,0,0,12,0
bothole_1971,2025-11-13 12:32:20.086000+00:00,39,0,0,12,0
JanFi0PN,2025-11-13 12:32:19+00:00,137,0,0,12,0
anythingsonics,2025-11-13 12:32:19.791000+00:00,46,0,0,12,0
andanotherguy.bsky.social,2025-11-13 12:32:05.205000+00:00,68,0,0,12,0
DIEZEIT,2025-11-13 12:16:24+00:00,297,1,0,12,1
ProgrammerGenboo,2025-11-13 12:32:18+00:00,22,0,0,12,0
TimesofIndia_,2025-11-13 09:52:17+00:00,388,1,0,9,1
sportswatch,2025-11-13 12:31:27+00:00,140,0,0,12,0
TheList,2025-11-13 12:30:00+00:00,263,0,0,12,0
NoName57Bot,2025-11-13 12:32:15+00:00,59,0,0,12,0
jcgoesdigital,2025-11-13 12:17:03+00:00,210,0,0,12,0
nba,2025-11-13 12:32:16+00:00,186,1,0,12,1
mlb,2025-11-13 12:32:17+00:00,247,1,0,12,1
habr,2025-11-13 12:32:17+00:00,924,1,0,12,1
KhoaMinh51975,2025-11-13 12:32:17+00:00,210,0,0,12,0
Semafor,2025-11-13 12:15:54+00:00,241,2,0,12,2
izkonata,2025-11-13 12:32:16+00:00,24,0,0,12,0
hosima,2025-11-13 12:32:17.616000+00:00,24,1,0,12,1
3moisan,2025-11-13 12:32:16.431000+00:00,21,0,0,12,0
krkshe.bsky.social,2025-11-13 12:31:29.045000+00:00,180,0,0,12,0
Newk,2025-11-13 12:32:15+00:00,173,0,0,12,0
heiseonline,2025-11-13 12:17:00+00:00,224,1,0,12,1
japan-cambot.bsky.social,2025-11-13 12:32:07+00:00,21,0,0,12,0
Kahte,2025-11-13 12:32:13+00:00,37,0,0,12,0
anythingbott,2025-11-13 12:32:15.661000+00:00,74,0,0,12,0
Wahrheit,2025-11-13 12:32:10+00:00,193,0,0,12,0
Makre38,2025-11-13 12:32:14+00:00,13,0,0,12,0
dalbankeak,2025-11-13 12:32:15.392000+00:00,363,0,0,12,0
repubblica,2025-11-13 07:00:00+00:00,339,1,0,7,1
itsmrv.bsky.social,2025-11-13 12:32:07.114000+00:00,80,0,0,12,0
copblaster,2025-11-13 12:32:14.821000+00:00,289,2,1,12,3
mole_1986,2025-11-13 12:32:13+00:00,21,0,0,12,0
TheMirror,2025-11-13 12:02:01+00:00,245,0,0,12,0
ITVNews,2025-11-13 12:28:06+00:00,209,2,0,12,2
RandomBaywatch,2025-11-13 12:32:14.258000+00:00,80,0,0,12,0
andanotherguy.bsky.social,2025-11-13 12:32:01.442000+00:00,298,0,0,12,0
AnythingBotMan,2025-11-13 12:32:13.152000+00:00,84,0,0,12,0
news_s,2025-11-13 12:32:12.947000+00:00,670,0,0,12,0
indie1023_playlist,2025-11-13 12:32:12.893000+00:00,43,0,0,12,0
therealpreneur,2025-11-13 12:32:12.883000+00:00,613,0,0,12,0
games,2025-11-13 12:32:07+00:00,322,0,0,12,0
luisjcarrillom66,2025-11-13 12:32:12.494000+00:00,186,0,0,12,0
gareth,2025-11-13 12:32:11+00:00,154,0,0,12,0
eldiarioes,2025-11-13 12:02:31+00:00,3609,0,0,12,0
linuxeasy,2025-11-13 12:32:11+00:00,308,0,0,12,0
leathermen,2025-11-13 12:32:11.924000+00:00,178,0,0,12,0
baseball,2025-11-13 12:32:06+00:00,325,0,0,12,0
jazzfm,2025-11-13 12:32:11.757000+00:00,94,0,0,12,0
Hoodedman,2025-11-13 12:32:10+00:00,284,0,0,12,0
lu9bot,2025-11-13 12:32:08+00:00,0,0,0,12,0
walknews,2025-11-13 12:32:08+00:00,247,0,0,12,0
manux,2025-11-13 12:32:10+00:00,273,0,0,12,0
ark_brut,2025-11-13 12:32:11.425000+00:00,307,0,1,12,1
kpop,2025-11-13 12:32:07+00:00,82,0,0,12,0
lavillanavk,2025-11-13 12:32:11.003000+00:00,74,0,0,12,0
tuulimukka.bsky.social,2025-11-13 12:32:02.660000+00:00,307,0,0,12,0
radionizza,2025-11-13 12:32:10.462000+00:00,475,0,0,12,0
flakefood,2025-11-13 12:32:03+00:00,145,0,0,12,0
MmeLibertine,2025-11-13 12:32:08+00:00,33,0,0,12,0
uk,2025-11-13 12:31:02+00:00,144,0,0,12,0
fxoxo,2025-11-13 12:32:06+00:00,386,1,0,12,1
Creebhills,2025-11-13 12:32:09.691000+00:00,495,0,0,12,0
AzusaTokoha,2025-11-13 12:32:09+00:00,114,0,0,12,0
elaficionado,2025-11-13 12:32:08+00:00,261,0,0,12,0
ahsquotebot,2025-11-13 12:32:09.068000+00:00,135,0,0,12,0
Carboxy_P,2025-11-13 12:32:08.078000+00:00,33,0,0,12,0
rawchili,2025-11-13 12:32:06+00:00,296,3,0,12,3
BrammarB,2025-11-13 12:32:08.537000+00:00,133,0,0,12,0
olmlb,2025-11-13 12:32:05+00:00,144,1,0,12,1
mag,2025-11-13 12:32:05+00:00,102,0,0,12,0
gulfchannels,2025-11-13 12:32:05+00:00,140,0,0,12,0
omroepbrabant,2025-11-13 12:32:06+00:00,440,0,0,12,0
Semafor,2025-11-13 12:13:05+00:00,249,2,0,12,2
RadioDigitalMalayali,2025-11-13 12:32:07.559000+00:00,212,0,0,12,0
TVMidtVestRSS,2025-11-13 12:32:07.194000+00:00,151,0,0,12,0
nhl,2025-11-13 12:32:05+00:00,169,1,0,12,1
PetitPas,2025-11-13 12:32:06+00:00,256,0,0,12,0
Edgecontrol,2025-11-13 12:32:06.967000+00:00,58,0,0,12,0
dannotdaniel,2025-11-13 12:32:02+00:00,59,0,0,12,0
Sudheendra,2025-11-13 12:32:06.806000+00:00,374,0,0,12,0
scream,2025-11-13 12:32:02+00:00,9,0,0,12,0
sibakari,2025-11-13 12:32:06.036000+00:00,100,1,0,12,1
eldiarioes,2025-11-13 12:07:38+00:00,2737,0,0,12,0
planesovermemphis,2025-11-13 12:32:04+00:00,372,0,0,12,0
TheMirror,2025-11-13 12:00:00+00:00,254,0,0,12,0
fin,2025-11-13 12:32:05+00:00,78,0,0,12,0
news.err.ee,2025-11-13 12:31:39.544000+00:00,233,0,0,12,0
belladonnalily,2025-11-13 12:32:05.160000+00:00,442,0,0,12,0
orby_the_bot,2025-11-13 12:32:03+00:00,140,0,0,12,0
antigon,2025-11-13 12:32:04+00:00,32,0,0,12,0
kuzigyaku,2025-11-13 12:32:04+00:00,15,0,0,12,0
bocvip,2025-11-13 12:32:02+00:00,140,0,0,12,0
pornhub,2025-11-13 12:31:57+00:00,177,0,0,12,0
OuestFrance,2025-11-13 10:47:15+00:00,275,0,0,10,0
lea,2025-11-13 12:32:02.124000+00:00,27,0,0,12,0
bash,2025-11-13 12:32:02.080000+00:00,89,0,0,12,0
iheartnoise.bsky.social,2025-11-13 12:31:57.818000+00:00,63,0,0,12,0
news.err.ee,2025-11-13 12:31:39.536000+00:00,194,0,0,12,0
lentaru,2025-11-13 12:32:01+00:00,132,1,0,12,1
crinstamcamp,2025-11-13 12:32:01+00:00,419,0,0,12,0
jizzytissue,2025-11-13 12:32:03.502000+00:00,11,0,0,12,0
parakeetprincess,2025-11-13 12:32:03+00:00,85,0,0,12,0
kinode,2025-11-13 12:28:44+00:00,384,0,0,12,0
nisaorganik,2025-11-13 12:32:03.283000+00:00,190,0,0,12,0
ancientorigins,2025-11-13 12:32:02.731000+00:00,121,1,0,12,1
TheMirror,2025-11-13 11:59:00+00:00,262,0,0,11,0
Eduse7en42,2025-11-13 12:32:01+00:00,37,0,0,12,0
yolu,2025-11-13 12:32:01.987000+00:00,26,0,0,12,0
CM1B_Peguy,2025-11-13 12:31:56+00:00,339,0,0,12,0
fuldainfo,2025-11-13 12:32:02.111000+00:00,549,0,0,12,0
monsieurvenus,2025-11-13 12:32:00+00:00,333,0,0,12,0
G4Media,2025-11-13 12:31:59+00:00,240,0,0,12,0
streamerrgb,2025-11-13 12:32:01.354000+00:00,122,0,0,12,0
bbc3musicbot.bsky.social,2025-11-13 12:31:57.538000+00:00,263,0,0,12,0
Amoxtli,2025-11-13 12:31:40.515000+00:00,76,0,0,12,0
NationalParks,2025-11-13 12:31:58+00:00,161,0,0,12,0
L_insoumission,2025-11-13 12:31:58+00:00,430,1,0,12,1
chitsujo,2025-11-13 12:31:59+00:00,5,1,0,12,1
D66Ooststellingwerf,2025-11-13 12:31:59.606000+00:00,147,0,0,12,0
odnewsin,2025-11-13 12:31:59.588000+00:00,568,0,0,12,0
odnewsin,2025-11-13 12:31:59.518000+00:00,581,0,0,12,0
events,2025-11-13 12:31:59.485000+00:00,207,0,0,12,0
Autoblog,2025-11-13 12:15:00+00:00,278,1,0,12,1
news.err.ee,2025-11-13 12:31:39.530000+00:00,228,0,0,12,0
denniksme,2025-11-13 12:31:55+00:00,129,0,0,12,0
Wyatt,2025-11-13 12:31:54+00:00,486,0,0,12,0
denniksme,2025-11-13 12:31:54+00:00,141,0,0,12,0
news.err.ee,2025-11-13 12:31:39.522000+00:00,310,0,0,12,0
Semafor,2025-11-13 12:10:38+00:00,250,2,0,12,2
takemaru512mm,2025-11-13 12:31:55+00:00,48,0,0,12,0
akira_soraw1818,2025-11-13 12:31:56+00:00,5,0,0,12,0
kg-portal_bot,2025-11-13 12:31:37.661000+00:00,462,1,0,12,1
privacy1st,2025-11-13 12:31:56.392000+00:00,107,0,0,12,0
TimesofIndia_,2025-11-13 09:16:29+00:00,340,1,0,9,1
kriykat,2025-11-13 12:31:53+00:00,193,0,0,12,0
TheMirror,2025-11-13 11:56:09+00:00,233,0,0,11,0
news.err.ee,2025-11-13 12:31:39.517000+00:00,216,0,0,12,0
bunnybunny.bsky.social,2025-11-13 12:31:52.725000+00:00,47,0,0,12,0
toto,2025-11-13 12:31:54+00:00,7,0,0,12,0
sflorg,2025-11-13 12:31:55.355000+00:00,253,1,0,12,1
Tallish_Tom,2025-11-13 12:31:54+00:00,516,0,0,12,0
MarkSquiresWine,2025-11-13 12:31:55.015000+00:00,460,1,0,12,1
denniksme,2025-11-13 12:31:54+00:00,133,0,0,12,0
sumikai,2025-11-13 12:31:53+00:00,331,0,0,12,0
NewsUA,2025-11-13 12:31:53+00:00,290,1,0,12,1
TimesofIndia_,2025-11-13 09:50:23+00:00,423,1,0,9,1
krone,2025-11-13 12:31:53+00:00,136,0,0,12,0
r_goal,2025-11-13 12:31:54.079000+00:00,375,1,0,12,1
tetrapathos,2025-11-13 12:31:53+00:00,79,0,0,12,0
TimesofIndia_,2025-11-13 10:12:42+00:00,455,1,0,10,1
petsreelsecia,2025-11-13 12:16:41+00:00,61,0,0,12,0
chucker,2025-11-13 12:31:52+00:00,81,0,0,12,0
BashakHimanself,2025-11-13 12:31:50+00:00,82,2,0,12,2
joannemerriam,2025-11-13 12:31:51+00:00,335,1,0,12,1
Wildebeest,2025-11-13 12:31:53.177000+00:00,169,0,1,12,1
blueglass,2025-11-13 12:31:51+00:00,35,0,0,12,0
atlantacathy2.bsky.social,2025-11-13 12:31:49.916000+00:00,81,0,0,12,0
KhoaMinh51975,2025-11-13 12:31:51+00:00,210,0,0,12,0
trailofbits,2025-11-13 12:31:49+00:00,562,0,0,12,0
DaddyJew,2025-11-13 12:31:51.652000+00:00,43,0,1,12,1
CTVNews,2025-11-13 12:25:03+00:00,258,1,0,12,1
pepebocca,2025-11-13 12:31:50.967000+00:00,187,0,0,12,0
cwp,2025-11-13 12:31:49+00:00,18,0,0,12,0
ssirkia,2025-11-13 12:31:48+00:00,46,0,0,12,0
bijjim.bsky.social,2025-11-13 12:31:46.844000+00:00,50,0,0,12,0
YahooFinance,2025-11-13 12:31:29.481000+00:00,69,0,0,12,0
Mi,2025-11-13 12:31:48.889000+00:00,34,0,0,12,0
YahooFinance,2025-11-13 12:31:29.443000+00:00,21,0,0,12,0
appleinsider,2025-11-13 12:31:49.539000+00:00,322,1,0,12,1
YahooFinance,2025-11-13 12:31:29.411000+00:00,75,0,0,12,0
nedhamson1,2025-11-13 12:31:49.140000+00:00,88,0,0,12,0
chicagotribune,2025-11-13 11:00:38+00:00,293,1,0,11,1
Opsiinformasi,2025-11-13 12:31:48.756000+00:00,644,0,0,12,0
Semafor,2025-11-13 12:09:34+00:00,230,2,0,12,2
pedrosiilvestree,2025-11-13 12:16:37+00:00,126,0,0,12,0
HesaplaGo,2025-11-13 12:31:48.600000+00:00,156,0,0,12,0
lutzenplotz.bsky.social,2025-11-13 12:31:38.947000+00:00,84,0,0,12,0
volkhard_wille,2025-11-13 12:31:46+00:00,243,0,0,12,0
Opsiinformasi,2025-11-13 12:31:48.222000+00:00,624,0,0,12,0
Buzzbeat,2025-11-13 12:31:47.934000+00:00,590,0,0,12,0
velvetguillotine,2025-11-13 12:31:47.893000+00:00,268,0,0,12,0
kanageohis1964,2025-11-13 12:31:44+00:00,286,0,0,12,0
Opsiinformasi,2025-11-13 12:31:47.539000+00:00,646,0,0,12,0
TheAdvocate4q66,2025-11-13 11:00:00+00:00,393,1,1,11,2
expressen,2025-11-13 12:31:40+00:00,125,0,0,12,0
rustybrick,2025-11-13 12:31:45+00:00,128,0,0,12,0
Tecumseh,2025-11-13 12:31:46+00:00,398,1,0,12,1
pbs,2025-11-13 12:31:44+00:00,192,1,0,12,1
RNDAudience,2025-11-13 12:08:30+00:00,316,2,0,12,2
OlharDigital,2025-11-13 11:55:00+00:00,299,1,0,11,1
repubblica,2025-11-13 12:13:30+00:00,335,1,0,12,1
planesovermemphis,2025-11-13 12:31:43+00:00,348,0,0,12,0
krzyzanowskim,2025-11-13 12:31:44.968000+00:00,115,0,0,12,0
RetailInsider,2025-11-13 12:31:45.010000+00:00,281,0,0,12,0
OndaCero,2025-11-13 12:18:03+00:00,336,0,0,12,0
DIEZEIT,2025-11-13 12:24:14+00:00,284,1,0,12,1
user.today15,2025-11-13 12:16:34+00:00,179,0,0,12,0
YahooFinance,2025-11-13 12:31:29.371000+00:00,115,0,0,12,0
hypeav,2025-11-13 12:31:44.199000+00:00,333,0,0,12,0
YahooFinance,2025-11-13 12:31:29.333000+00:00,66,0,0,12,0
Opsiinformasi,2025-11-13 12:31:43.853000+00:00,636,0,0,12,0
YahooFinance,2025-11-13 12:31:29.280000+00:00,62,0,0,12,0
ralphruthe,2025-11-13 12:31:38+00:00,6,7,2,12,9
anna-orridge.bsky.social,2025-11-13 12:31:39.470000+00:00,205,0,0,12,0
tubamei,2025-11-13 12:31:40+00:00,10,0,0,12,0
eldiarioes,2025-11-13 12:14:50+00:00,5425,0,0,12,0
realTuckFrumper,2025-11-13 12:31:42.533000+00:00,90,0,0,12,0
sillymickel.bsky.social,2025-11-13 12:31:39.331000+00:00,94,0,0,12,0
Ruse,2025-11-13 12:31:41.720000+00:00,4,1,0,12,1
GazetemKocaeli,2025-11-13 12:31:41.790000+00:00,606,0,0,12,0
CNB_cz,2025-11-13 12:31:39+00:00,90,0,0,12,0
pkgsrcchanges,2025-11-13 12:31:41+00:00,162,0,0,12,0
expressen,2025-11-13 12:31:40+00:00,131,0,0,12,0
gloswloclawianina,2025-11-13 12:31:40+00:00,528,0,0,12,0
CNB_cz,2025-11-13 12:31:38+00:00,231,0,0,12,0
railpage,2025-11-13 12:31:41.026000+00:00,163,1,0,12,1
youtube_squareenix,2025-11-13 12:31:40+00:00,133,1,0,12,1
hypeav,2025-11-13 12:31:40.754000+00:00,293,0,0,12,0
CNB_cz,2025-11-13 12:31:38+00:00,90,0,0,12,0
pkgsrcchanges,2025-11-13 12:31:39+00:00,341,0,0,12,0
CNB_cz,2025-11-13 12:31:37+00:00,331,0,0,12,0
Opsiinformasi,2025-11-13 12:31:40.155000+00:00,621,0,0,12,0
OKMagazine,2025-11-13 12:17:57+00:00,192,1,0,12,1
zdfheute,2025-11-13 12:07:00+00:00,259,0,0,12,0
CNB_cz,2025-11-13 12:31:37+00:00,329,0,0,12,0
renseiP,2025-11-13 12:31:39.342000+00:00,15,0,0,12,0
Ricardo,2025-11-13 12:31:38+00:00,216,0,0,12,0
yukotan.bsky.social,2025-11-13 12:31:34.357000+00:00,32,0,0,12,0
OnetWiadomosci,2025-11-13 12:31:39.003000+00:00,259,0,0,12,0
